,Unnamed: 0,player_id,salary,_id,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,position,shoots,weight
0,0,abdelal01,568800.0,abdelal01,0.3,50.2,0.0,70.1,256,13.0,-0.4244429207029794,-0.0347734088343954,-0.5706641349434299,50.2,1990,6.833333333333333,Power Forward,Right,240.0
1,1,abdulka01,2140000.0,abdulka01,3.6,55.9,5.6,72.1,1560,24.6,3.3022326750091913,3.5888745961775577,7.824229999068148,55.9,1969,7.166666666666667,Center,Right,225.0
2,2,abdulma02,2205500.0,abdulma02,3.5,44.2,35.4,90.5,586,15.4,1.3304466455318522,-0.67693887807702,0.06692276131061393,47.2,1990,6.083333333333333,Point Guard,Right,162.0
3,3,abdulta01,3798280.0,abdulta01,1.1,41.7,23.7,70.3,236,11.4,-0.010367854512738252,-0.0347734088343954,-0.6112946724498152,42.2,1997,6.5,Shooting Guard,Right,223.0
4,4,abdursh01,8715090.909090908,abdursh01,2.5,47.2,29.7,81.0,830,19.0,2.020571755848921,1.8917229988934785,1.5046187038442427,47.9,1996,6.75,Center and Small Forward and Power Forward,Right,225.0
5,5,ackeral01,649829.3333333334,ackeral01,0.5,37.0,32.0,50.0,30,8.5,-1.015978729546181,-1.0897595368758501,-0.7269354330449114,41.3,2005,6.416666666666667,Shooting Guard,Right,185.0
6,6,acresma01,321800.0,acresma01,0.5,50.6,53.8,66.5,375,9.0,-0.8385179868932205,0.33217828787567577,-0.43001996665209674,50.9,1985,6.916666666666667,Center,Right,220.0
7,7,acyqu01,1146500.857142857,acyqu01,0.6,44.4,35.0,75.9,337,11.2,-0.5821858030611665,0.0569645153431225,-0.44877252242427457,51.3,2012,6.583333333333333,Power Forward and Small Forward,Right,240.0
8,8,adamsal01,591666.6666666666,adamsal01,4.1,49.8,13.3,78.8,988,18.3,1.2318573440579854,1.6623781884496842,1.5765035009709238,49.8,1975,6.75,Center and Power Forward,Right,210.0
9,9,adamsha01,354940.5,adamsha01,0.2,53.4,0.0,64.3,73,11.8,-1.0554144501357279,-0.9980216126983324,-0.6956811734246151,53.4,2006,6.333333333333333,Shooting Guard,Right,220.0
