,player_id,salary,_id,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,position,shoots,weight
0,abdelal01,568800.0,abdelal01,0.3,50.2,0.0,70.1,256,13.0,5.7,3.3,4.8,50.2,1990,6-10,Power Forward,Right,240.0
1,abdulka01,2140000.0,abdulka01,3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,1969,7-2,Center,Right,225.0
2,abdulma02,2205500.0,abdulma02,3.5,44.2,35.4,90.5,586,15.4,14.6,1.9,25.2,47.2,1990,6-1,Point Guard,Right,162.0
3,abdulta01,3798280.0,abdulta01,1.1,41.7,23.7,70.3,236,11.4,7.8,3.3,3.5,42.2,1997,6-6,Shooting Guard,Right,223.0
4,abdursh01,8715090.909090908,abdursh01,2.5,47.2,29.7,81.0,830,19.0,18.1,7.5,71.2,47.9,1996,6-9,Center and Small Forward and Power Forward,Right,225.0
5,ackeral01,649829.3333333334,ackeral01,0.5,37.0,32.0,50.0,30,8.5,2.7,1.0,-0.2,41.3,2005,6-5,Shooting Guard,Right,185.0
6,acresma01,321800.0,acresma01,0.5,50.6,53.8,66.5,375,9.0,3.6,4.1,9.3,50.9,1985,6-11,Center,Right,220.0
7,acyqu01,1146500.857142857,acyqu01,0.6,44.4,35.0,75.9,337,11.2,4.9,3.5,8.7,51.3,2012,6-7,Power Forward and Small Forward,Right,240.0
8,adamsal01,591666.6666666666,adamsal01,4.1,49.8,13.3,78.8,988,18.3,14.1,7.0,73.5,49.8,1975,6-9,Center and Power Forward,Right,210.0
9,adamsha01,354940.5,adamsha01,0.2,53.4,0.0,64.3,73,11.8,2.5,1.2,0.8,53.4,2006,6-4,Shooting Guard,Right,220.0
10,adamsjo01,1404600.0,adamsjo01,0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,2014,6-5,Shooting Guard,Right,209.0
11,adamsmi01,826500.0,adamsmi01,6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,1985,5-10,Point Guard,Right,162.0
12,adamsst01,6433461.4,adamsst01,1.0,58.8,0.0,55.3,467,16.7,9.7,7.4,38.7,58.8,2013,7-0,Center,Right,265.0
13,addisra01,346600.0,addisra01,0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,1986,6-7,Small Forward,Right,215.0
14,adebaba01,2490360.0,adebaba01,1.9,55.0,13.6,72.8,151,17.0,8.0,6.5,11.0,55.1,2017,6-10,Center,Right,255.0
15,afflaar01,4904346.583333333,afflaar01,1.8,45.0,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,2007,6-5,Shooting Guard and Small Forward,Right,210.0
16,agerma01,751656.25,agerma01,0.2,33.9,25.0,56.6,82,2.8,2.1,0.6,-0.9,36.8,2006,6-5,Shooting Guard,Right,202.0
17,aguirma01,908515.5555555555,aguirma01,3.1,48.4,31.2,74.1,923,19.0,20.0,5.0,67.8,49.8,1981,6-6,Small Forward,Right,232.0
18,aingeda01,977777.7777777778,aingeda01,4.0,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,1981,6-4,Shooting Guard and Point Guard,Right,175.0
19,alabiso01,800000.0,alabiso01,0.2,31.4,-,70.0,26,10.3,1.5,2.3,0.0,31.4,2010,7-1,Center,Right,251.0
20,alarima01,383125.0,alarima01,1.1,47.5,25.2,77.5,325,13.0,7.5,3.4,8.4,48.3,1986,6-8,Power Forward,Right,217.0
21,aldrico01,3411951.8571428573,aldrico01,0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,2010,6-11,Center,Right,250.0
22,aldrila01,12301576.833333334,aldrila01,2.0,49.1,28.3,81.0,950,20.9,19.6,8.4,107.0,49.5,2006,6-11,Power Forward and Center,Right,260.0
23,alexaco01,1520144.75,alexaco01,2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3.0,46.8,1995,6-1,Shooting Guard and Point Guard,Right,185.0
24,alexaco02,1300460.4,alexaco02,1.2,42.2,33.9,81.3,187,11.5,9.0,2.2,4.1,43.5,2000,6-5,Point Guard and Shooting Guard,Right,205.0
25,alexajo01,1692315.0,alexajo01,0.7,41.0,34.0,69.8,67,9.9,4.2,1.8,0.5,44.2,2008,6-8,Small Forward,Right,230.0
26,alexavi01,1079641.6666666667,alexavi01,0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,1991,6-9,Center,Right,265.0
27,alforst01,166666.66666666666,alforst01,1.0,45.9,32.4,87.0,169,14.4,4.4,0.9,3.2,48.7,1987,6-2,Point Guard,Right,183.0
28,allenja01,1713720.0,allenja01,1.0,59.0,18.3,73.2,152,18.1,9.6,7.0,11.9,59.5,2017,6-11,Center,Right,237.0
29,allenje01,248125.0,allenje01,1.7,35.0,31.7,63.0,117,8.5,2.9,1.1,0.2,41.1,1995,6-4,Shooting Guard,Right,184.0
30,allenla01,2530294.5,allenla01,1.0,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,2011,6-9,Power Forward and Center,Right,260.0
31,allenra02,10242022.777777778,allenra02,3.4,45.2,40.0,89.4,1300,18.6,18.9,4.1,145.1,53.0,1996,6-5,Shooting Guard,Right,205.0
32,allento01,2907029.9285714286,allento01,1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,2004,6-4,Shooting Guard and Small Forward and Point Guard,Right,213.0
33,almonmo01,1043700.0,almonmo01,0.3,38.1,29.2,74.3,38,7.0,3.1,1.2,0.0,41.2,2007,6-6,Shooting Guard,Right,225.0
34,alstode01,250000.0,alstode01,0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49.0,1994,6-11,Center,Right,225.0
35,alstora01,2344127.5833333335,alstora01,4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,1998,6-2,Point Guard,Right,171.0
36,aminual01,4430970.5,aminual01,1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,2010,6-9,Power Forward and Small Forward,Right,220.0
37,anderde01,4212366.214285715,anderde01,3.4,40.8,34.1,85.3,615,15.3,12.0,3.2,43.9,46.3,1997,6-5,Shooting Guard and Small Forward and Point Guard,Right,194.0
38,andergr01,571625.0,andergr01,0.6,49.2,8.7,55.7,680,13.0,7.3,6.2,18.7,49.2,1987,6-10,Center and Power Forward,Right,230.0
39,anderja01,895769.3333333334,anderja01,1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,2010,6-6,Small Forward and Shooting Guard,Right,213.0
40,anderju01,1514200.0,anderju01,0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49.0,2015,6-6,Small Forward,Left,230.0
41,anderke01,4530371.428571428,anderke01,6.1,42.1,34.6,79.0,858,16.4,12.6,3.1,62.5,44.9,1991,6-0,Point Guard,Left,168.0
42,anderky01,1395085.75,anderky01,1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,2014,6-9,Small Forward,Right,230.0
43,anderni01,3271593.6923076925,anderni01,2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50.0,1989,6-6,Shooting Guard and Small Forward,Right,205.0
44,anderri01,262500.0,anderri01,1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,1982,6-10,Center and Power Forward,Right,240.0
45,anderro01,470000.0,anderro01,1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,1984,6-7,Small Forward,Right,215.0
46,anderry01,7850978.0,anderry01,0.9,42.2,38.0,85.4,647,16.5,12.4,5.3,46.7,52.3,2008,6-10,Power Forward,Right,240.0
47,andersh01,3813340.3846153845,andersh01,1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,1996,6-6,Small Forward and Shooting Guard,Right,208.0
48,anderwi01,1351250.0,anderwi01,3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,1988,6-7,Shooting Guard and Small Forward,Right,190.0
49,anigbik01,950000.0,anigbik01,0.1,33.3,-,83.3,14,17.0,0.9,0.9,0.0,33.3,2017,6-10,Center,Right,250.0
50,anslemi01,200000.0,anslemi01,0.4,51.3,-,72.2,149,17.0,6.9,4.2,6.4,51.3,1989,6-7,Small Forward,Right,225.0
51,anthoca01,15466761.0,anthoca01,3.0,44.9,34.7,81.1,1064,20.3,24.0,6.5,101.0,48.2,2003,6-8,Small Forward and Power Forward,Right,240.0
52,anthogr01,1549354.1666666667,anthogr01,4.0,40.3,34.9,73.3,757,14.5,7.3,1.9,35.9,46.7,1991,6-0,Point Guard,Left,176.0
53,anunoog01,1645200.0,anunoog01,0.7,46.1,35.1,60.5,141,9.9,6.4,2.7,5.0,55.5,2017,6-8,Small Forward,Right,232.0
54,araujra01,2238960.0,araujra01,0.3,40.5,25.0,67.9,139,6.3,2.8,2.8,-0.4,40.6,2004,6-11,Center,Right,280.0
55,archiro01,456568.5,archiro01,0.4,28.3,-,42.9,44,4.9,1.2,1.6,0.0,28.3,2002,6-11,Center and Power Forward,Right,250.0
56,arenagi01,11726226.75,arenagi01,5.3,42.1,35.1,80.3,552,19.6,20.7,3.9,51.3,48.2,2001,6-3,Point Guard,Right,191.0
57,arizatr01,5451466.428571428,arizatr01,2.2,42.2,35.1,72.8,1011,13.3,10.7,4.8,60.0,50.2,2004,6-8,Small Forward and Shooting Guard,Right,215.0
58,armstbj01,1489090.9090909092,armstbj01,3.3,47.7,42.5,85.6,747,14.5,9.8,1.8,45.0,51.3,1989,6-2,Point Guard,Right,175.0
59,armstbr01,930723.3333333334,armstbr01,0.2,35.2,33.3,60.0,108,4.9,2.2,0.6,-0.6,39.5,2001,6-5,Shooting Guard,Left,188.0
60,armsthi01,1898895.6,armsthi01,0.3,50.1,28.6,58.2,292,9.9,3.0,2.6,3.9,50.2,2006,6-11,Center and Power Forward,Right,235.0
61,artesro01,4532582.705882353,artesro01,2.7,41.4,33.9,71.5,991,14.8,13.2,4.5,61.1,46.5,1999,6-6,Small Forward,Right,260.0
62,arthuda01,3322257.5,arthuda01,0.8,44.4,35.2,76.5,503,12.2,6.5,3.5,12.3,47.0,2008,6-9,Small Forward and Power Forward,Right,235.0
63,askewvi01,976208.3333333334,askewvi01,2.2,47.9,30.0,75.4,467,12.6,7.1,2.5,22.1,49.4,1987,6-6,Shooting Guard,Right,210.0
64,augmost01,1877343.75,augmost01,1.6,46.9,15.2,72.8,1001,13.7,8.0,3.2,43.8,47.0,1991,6-8,Small Forward and Shooting Guard,Left,205.0
65,augusdj01,3563831.0,augusdj01,4.0,41.3,38.1,86.3,807,14.2,9.8,1.9,41.9,49.7,2008,6-0,Point Guard,Right,183.0
